audio,chunk_sec,fallo,latencia_computacional_ms,latencia_p90_ms,latencia_primer_tercio_ms,latencia_ultimo_tercio_ms,duracion_audio_s,tiempo_total_s,rtf,hypothesis,reference
en.20081008.24.3-238,0.48,ValueError,,,,,124.0178125,,,,"−
Señor Presidente , en primer lugar , quisiera felicitar al señor Seeber por el trabajo realizado , porque en su informe se recogen muchas de las preocupaciones manifestadas en esta Cámara en torno a estos problemas cruciales para toda la Unión Europea . Son éstos : la escasez de agua y la sequía , asuntos que ya han dejado de ser solamente un problema de los países del sur de Europa .
Me alegro de que este proyecto incorpore alguna de las reflexiones realizadas en la opinión de la que fui ponente en la Comisión de Agricultura , a favor de una actividad agrícola , al destacar , por ejemplo , el papel que desempeñan los agricultores en la gestión sostenible de los recursos disponibles . Incluye , asimismo , una referencia a la sequía y a la escasez de agua como factores que agravan los precios de las materias primas , aspecto que , en los tiempos que corren , también me parece muy importante señalar para que tengamos presente no solamente la dimensión medioambiental de este problema , sino también algunas de sus consecuencias económicas más relevantes .
La Comisión de Medio Ambiente incluyó , por otra parte , la idea de crear un observatorio europeo de la sequía , acción que se menciona , asimismo , en la opinión de la Comisión de Agricultura y que espero que , algún día , se vea reflejada en hechos concretos .
El texto que se somete mañana a votación no recoge , sin embargo , una propuesta realizada por la Comisión de Agricultura para que se estudie la puesta en marcha de un fondo de adaptación económico contra la sequía , que beneficiaría a todos los sectores económicos , incluido también el de la agricultura .
Por mi parte , me gustaría dejar claro que seguiré defendiendo la constitución de este fondo , una idea que volveré a proponer al Parlamento cuando llegue en los próximos meses la comunicación que tiene previsto elaborar la Comisión sobre la adaptación al cambio climático .
Me parece que , después de que se constituyera el Fondo de Solidaridad , que en su día se creó para paliar las pérdidas provocadas por las calamidades climáticas , es hora de que pensemos en un instrumento que actúe
y destinado a financiar medidas de prevención para reducir el coste medioambiental y económico de esas catástrofes climáticas .
"
en.20081020.12.1-036,0.48,,198.78620177082712,277.0934824999358,146.31024921875735,250.37883656248994,45.99875,19.355724576000057,0.4207880556754272,"El Atlético de Madrid, los aficionados e incluso la policía española están siendo maltratados por la Federación Europea de Fútbol, pero el caso trasciende lo particular, pues esos órganos federativos agravan las sanciones a quienes recurren a la justicia ordinaria. Esta concepción medieval, esta ley del embudo, es incompatible con el derecho, con las instituciones europeas, desde las que hemos de reaccionar y lo acabaremos haciendo. Pues esos señores medievales, arbitrarios de orca y cuchillo, han de ponerse en línea con el respeto al derecho y las garantías procesales ordinarias de nuestra Europa. Nada más, muchas gracias.","El Atlético de Madrid , los aficionados e incluso la policía española están siendo maltratados por la Federación Europea de Fútbol . Pero el caso transciende lo particular , pues esos órganos federativos agravan las sanciones a quienes recurren a la justicia ordinaria .
Esta concepción medieval , esta ley del embudo es incompatible con el Derecho y con las instituciones europeas , desde las que hemos de reaccionar . Lo acabaremos haciendo , pues esos señores medievales arbitrarios de horca y cuchillo han de ponerse en línea con el respeto al Derecho y las garantías procesales ordinarias de nuestra Europa .
"
en.20081020.15.1-139,0.48,,250.11978604617912,342.51829019992783,155.96643630235735,358.79280851163776,61.9973125,32.855625422,0.5299524140179463,"Gracias, señor Presidente, señor Comisario. El terrorismo es un fenómeno global y la actuación de la delincuencia grave organizada también, y por tanto los medios tienen que ser proporcionales y tienen que lucharse con eficacia. Yo he tomado buena nota de las respuestas que ha dado a las preguntas que eran oportunas. Es verdad que hay que exigir garantías. Es verdad que es un tema delicado, pero no es menos cierto que es absolutamente inexcusable montar, formar una respuesta globalizada y armonizada. Para algunos que el terrorismo les pilla un poco lejos, les preocupa más las garantías individuales. A mí me preocupan las individuales y las colectivas, y es absolutamente necesario que empecemos por donde podamos. Si hemos empezar por el transporte aéreo, donde ya las compañías tienen esos datos, empecemos por ahí. Exijamos garantías. Veamos cuál es el ámbito de aplicación. Empecemos por las relaciones de los transportes internacionales. Y ojo, tendremos que tener en cuenta que el terrorismo es un fenómeno global y que la respuesta debe ser globalizada y armonizada. Para algunos que el terrorismo les pilla un poco lejos, les preocupa más las garantías individuales. A mí me preocupan las individuales y las colectivas, y es absolutamente necesario que empecemos por donde podamos. Si hemos empezar por el transporte aéreo, donde ya las compañías tienen esos datos, empecemos por ahí. Exijamos garantías. Veamos cuál es el ámbito de aplicación. Empecemos por las relaciones de los transportes internacionales. Y ojo, tendremos que tener en cuenta que el terrorismo es un fenómeno global y que la respuesta debe ser globalizada y armonizada.","Señor Presidente , señor Comisario , el terrorismo es un fenómeno global y la actuación de la delincuencia grave organizada también , y por tanto los medios tienen que ser proporcionales y hay que luchar con eficacia .
He tomado buena nota de las respuestas que ha dado a las preguntas , y eran oportunas : es verdad que hay que exigir garantías , es verdad que es un tema delicado , pero no es menos cierto que es absolutamente inexcusable montar , formar una respuesta globalizada y armonizada .
A algunos , a los que el terrorismo les queda un poco lejos , les preocupan más las garantías individuales . A mí me preocupan las individuales y las colectivas , y es absolutamente necesario que empecemos por donde podamos . Si hemos de empezar por el transporte aéreo , donde ya las compañías tienen esos datos , empecemos por ahí .
Exijamos garantías , veamos cuál es el ámbito de aplicación , empecemos por las relaciones de los transportes internacionales , y ¡ ojo ! tendremos que seguir por las interiores porque los terroristas muchas veces no vienen de fuera , sino que vienen de dentro . Que se lo pregunten a Estados Unidos , que se lo pregunten a los demás , que así es y así tendremos que plantearlo en el futuro .
"
en.20081118.31.2-399,0.48,,391.80880404120126,603.0477204000819,198.39618902246553,604.8951803708037,127.9884375,105.628121771,0.8252942518420853,"Muchas gracias, señor Presidente. Yo quiero agradecer a la Comisión que haya presentado esta propuesta. Creo que es una propuesta positiva y que nos ayudará a reducir las cargas administrativas innecesarias. Ahora bien, como han dicho los oradores que me han precedido, este Parlamento tiene la obligación de traer a tierra lo que son propuestas muy generosas y muy altruistas por parte de la Comisión. Y la realidad es que hay una realidad nacional en la que hay 27 países con diferentes sistemas jurídicos y con idiomas muy diferentes, lo cual exige que en cada uno de esos países nos ajustemos a las realidades del país, incluyendo el tema de las lenguas. Concretamente, como ha señalado Gauzès ahora mismo y como han señalado los oradores anteriores, es importante que el reconocimiento de estas especialidades nacionales no lleve a un aumento de los costes, que las tasas sean uniformes y que los gobiernos eventualmente asuman ese coste adicional. Pero hay un tema que aparece también, que es el tema de las traducciones. Concretamente, en la Unión Europea no tenemos un idioma común. En los 27 países suele hablar idiomas muy diferentes entre ellos, incluso en algunos países como el del Comisario se hablan diferentes idiomas y vivimos con esto. Y desde el punto de vista jurídico, además, nos encontramos con la realidad de que los documentos jurídicos son diferentes. En la Comisión Jurídica, la Comisión Jurídica ha propuesto, por ejemplo, una enmienda sobre la autenticación de las actas de los documentos, junto con la autenticación de la traducción. En este momento, la Comisión de Asuntos Jurídicos se está preparando un informe sobre el reconocimiento de actas auténticas en diferentes países de la Unión Europea, que debería ser complementario de este informe. En definitiva, yo creo que la Comisión ha hecho bien presentando este informe. La ponente ha hecho un magnífico trabajo y creo que todos nos hemos esforzado por hacer una propuesta de texto legislativo que pueda ser reconocido en el conjunto de la Unión, garantizando los derechos y partiendo de las bases de la realidad de una Unión que se está construyendo, que tiene diferentes ordenamientos nacionales y que tiene diferentes niveles de acceso a la comunicación electrónica. Muchas gracias, Presidente.","Señor Presidente , quiero agradecer a la Comisión que haya presentado esta propuesta . Creo que es una propuesta positiva y que nos ayudará a reducir las cargas administrativas innecesarias .
Ahora bien , como han dicho los oradores que me han precedido , este Parlamento tiene la obligación de traer a tierra lo que son propuestas muy generosas y muy altruistas por parte de la Comisión . Y la realidad es que hay una realidad nacional en la que hay veintisiete países con diferentes sistemas jurídicos y con idiomas muy diferentes , lo cual exige que , en cada uno de nuestros países , nos ajustemos a las realidades del país , incluyendo el tema de las lenguas .
Concretamente , como ha señalado el señor Gauzès , ahora mismo , y como han señalado los oradores anteriores , es importante que el reconocimiento de estas especificidades nacionales no lleve a un aumento de los costes , que las tasas sean uniformes y que los Gobiernos , eventualmente , asuman ese coste adicional .
Pero hay un tema que aparece también : es el tema de las traducciones . Concretamente , en la Unión Europea no tenemos un idioma común . En los veintisiete países se suelen hablar idiomas muy diferentes entre sí , incluso en algunos países , como el del Comisario , se hablan diferentes idiomas y vivimos con esto .
Y , desde el punto de vista jurídico , además , nos encontramos con la realidad de que los documentos jurídicos son diferentes . La Comisión de Asuntos Jurídicos ha propuesto , por ejemplo , unas enmiendas sobre la autenticación de las actas , de los documentos , junto con la autenticación de la traducción . En estos momentos , la Comisión de Asuntos Jurídicos está preparando un informe sobre el reconocimiento de actas auténticas en diferentes países de la Unión Europea que debería ser complementario de este informe .
En definitiva , yo creo que la Comisión ha hecho bien presentando este informe . La ponente ha hecho un magnífico trabajo y creo que todos nos hemos esforzado por hacer una propuesta de texto legislativo que pueda ser reconocido en el conjunto de la Unión , garantizando los derechos y partiendo de las bases de la realidad de una Unión que se está construyendo , que tiene diferentes ordenamientos nacionales y que tiene diferentes niveles de acceso a la comunicación electrónica .
"
en.20081118.4.2-040,0.48,,403.82748635793314,620.1718830000118,203.29586827778152,621.7799061111085,129.9853125,110.7201636310001,0.8517898022593907,"Gracias, Presidente. Una gran mayoría de agricultores y ganaderos está pendiente de decisiones y acuerdos previos que adaptará el Consejo de Ministros de Agricultura de la Unión entre hoy y mañana sobre este chequeo de la PAC, porque no se trata de una simple revisión, sino que traerá consigo cambios profundos, como la desaparición de muchas explotaciones. Si sale adelante este recorte que propone la Comisión Europea sobre ayudas directas, la modulación es el punto central de este informe parlamentario y podría ser uno de los pocos elementos de la opinión del Parlamento con algún impacto en las negociaciones que mantienen los ministros de Agricultura de la Unión. Venimos oponiéndonos desde hace años a cualquier incremento de eso que llamamos eufemísticamente modulación, porque si la política de desarrollo rural no dispone de fondos suficientes, no es por falta de recursos dentro del techo de gastos de la PAC, sino por una ausencia absoluta de voluntad política para dotar al presupuesto comunitario de ese necesario desarrollo pilar. Quieren liberalizar los mercados, claro, háganlo, pero con iguales requisitos y condiciones para todos los productores, los de dentro y fuera de la Unión. En estos momentos, la Unión Europea se está jugando el futuro de muchos agricultores y ganaderos, y muy especialmente me gustaría hacer una referencia a los sectores frágiles como el del vino, el vacuno o el tabaco, cuya supervivencia en muchas zonas productoras dependerá de este chequeo. Algunos productores, como los de vino, ya no piden ayudas, sino que simplemente quieren que se les deje irse dignamente del mercado, porque han hecho cuentas y la única forma de sobrevivir es reducir los volúmenes producidos. El abandono de la producción, por tanto, es la única salida que dejamos a muchos productores, cuyo espacio será ocupado sin duda por importaciones de países terceros, porque el consumidor no dejará de consumir y el mundo no dejará de incrementar a pasos agigantados el número de consumidores. El Parlamento debería emitir una opinión prudente y el Consejo escucharla. Agradezco desde aquí al Presidente de la Comisión de Agricultura las gestiones que ha realizado el señor Perry para que se escuche el Parlamento y no sea ninguneado de una forma tan clara y ostensible por el Consejo y la Comisión como hasta ahora. Gracias. Gracias, señora Eranz García.","Señor Presidente , una gran mayoría de agricultores y ganaderos está pendiente de decisiones y acuerdos previos que adoptará el Consejo de Ministros de Agricultura de la Unión , entre hoy y mañana , sobre este chequeo de la PAC , porque no se trata de una simple revisión , sino que traerá consigo cambios profundos , como la desaparición de muchas explotaciones , si sale adelante este recorte que propone la Comisión Europea respecto de las ayudas directas .
La modulación es el punto central de este informe parlamentario y podría ser uno de los pocos elementos del dictamen del Parlamento con algún impacto en las negociaciones que mantienen los Ministros de Agricultura de la Unión .
Venimos oponiéndonos , desde hace años , a cualquier incremento de eso que llamamos eufemísticamente « modulación » , porque si la política de desarrollo rural no dispone de fondos suficientes no es por falta de recursos dentro del techo de gastos de la PAC , sino por una ausencia absoluta de voluntad política para dotar al presupuesto comunitario de ese necesario pilar .
¿ Quieren liberalizar los mercados ? Claro , háganlo , pero con iguales requisitos y condiciones para todos los productores , los de dentro y los de fuera de la Unión .
En estos momentos la Unión Europea se está jugando el futuro de muchos agricultores y ganaderos y , muy especialmente , me gustaría hacer una referencia a los sectores frágiles como el del ovino , el del vacuno o el del tabaco , cuya supervivencia en muchas zonas productoras dependerá de este chequeo .
Algunos productores , como los de ovino , ya no piden ayudas , sino que simplemente quieren que se les deje irse dignamente del mercado , porque han hecho cuentas y la única forma de sobrevivir es reducir los volúmenes producidos . El abandono de la producción , por tanto , es la única salida que dejamos a muchos productores , cuyo espacio será ocupado , sin duda , por importaciones de terceros países , porque el consumidor no dejará de consumir y el mundo no dejará de incrementar a pasos agigantados el número de consumidores .
El Parlamento debería emitir una opinión prudente y el Consejo escucharla . Agradezco desde aquí al Presidente de la Comisión de Agricultura y Desarrollo Rural , el señor Parish , las gestiones que ha realizado para que se escuche al Parlamento y no sea ninguneado de una forma tan clara y ostensible por el Consejo y la Comisión , como hasta ahora .
"
en.20081118.4.2-057,0.48,,277.9942409434044,412.8340404000937,173.34427158492065,384.0430143962397,75.9989375,44.616970479999964,0.587073608496171,"Gracias, señor Presidente. En primer lugar, sumáme a la felicitación del señor ponente, el señor Capula Santos, por su magnífico trabajo. Creo que ha encontrado equilibrio y moderación en su informe. Creo que lo importante a estas alturas del debate es mandar un mensaje de estabilidad para nuestros agricultores. Los agricultores europeos necesitan más que nunca estabilidad y soluciones. Es necesario períodos transitorios suficientes, así como mantener medidas específicas que sean necesarias para sectores en dificultad. Señora Comisaria, no valen las mismas soluciones para todos los sectores y hay que recordar que tenemos sectores que están atravesando verdaderas dificultades. La política agraria común no tiene que ser el problema, sino la solución, y para ello necesitamos un primer pilar fuerte. Creemos y apostamos por el desarrollo rural, pero no creemos que la modulación propuesta por la Comisión sea la solución. No se trata de fortalecer el desarrollo rural en detrimento del primer pilar. Estamos de acuerdo en que hay que simplificar el régimen de pago único, en revisar los instrumentos de mercado, pero eso no significa desmantelarlos. Si lo hacemos bien, estaremos poniendo las bases para una política agraria común más allá del 2013. Si no, estaremos acabando con la actividad de muchos agricultores europeos. Gracias.","Señor Presidente , en primer lugar , quería sumarme a la felicitación al ponente , el señor Capoulas Santos , por su magnífico trabajo . Creo que ha encontrado equilibrio y moderación en su informe .
Creo que lo importante , a estas alturas del debate , es mandar un mensaje de estabilidad a nuestros agricultores . Los agricultores europeos necesitan más que nunca estabilidad y soluciones . Son necesarios períodos transitorios suficientes , así como mantener medidas específicas que sean necesarias para sectores en dificultad .
Señora Comisaria , no valen las mismas soluciones para todos los sectores . Hay que recordar que tenemos sectores que están atravesando verdaderas dificultades . La Política Agrícola Común no tiene que ser el problema , sino la solución , y para ello necesitamos un primer pilar fuerte .
Creemos en el desarrollo rural y apostamos por él , pero no creemos que la modulación propuesta por la Comisión sea la solución . No se trata de fortalecer el desarrollo rural en detrimento del primer pilar . Estamos de acuerdo en que hay que simplificar el régimen de pago único , en revisar los instrumentos de mercado . Pero eso no significa desmantelarlos .
Si lo hacemos bien , estaremos poniendo las bases para una Política Agrícola Común más allá de 2013 ; si no , estaremos acabando con la actividad de muchos agricultores europeos .
"
en.20081118.5.2-089,0.48,,342.4257585466653,521.2393138000152,194.61883110666955,487.97017036000705,107.9960625,77.64254967900001,0.7189387083348526,"Estamos ante un plan muy esperado por el sector hortofrutícola, no solamente por las dificultades en las que atraviesa, sino también por el preocupante descenso del consumo. Creo que nos encontramos ante un plan de promoción de salud pública. Yo creo que debe ser un plan europeo y también defiendo la plena financiación comunitaria. No estoy de acuerdo en que puedan entrar los padres en la cofinanciación, porque pasará lo de siempre: los padres que puedan aportar dinero a sus hijos en las escuelas consumirán frutas y hortalizas y los que no se quedarán fuera del programa. Creo que tiene que ser un plan financiado comunitariamente para que su distribución sea homogénea. Por ello también quiero hacer mucho hincapié en que hay que poner el acento en las medidas educativas. No se trata solo de que un alumno se coma una manzana, sino que sepa qué tipo de manzanas está comiendo, conozca sus propiedades nutritivas y comprenda los efectos beneficiosos que dicha fruta tiene para su salud y para su desarrollo. Por supuesto, debe tratarse de productos de todas las garantías de calidad, dando prioridad, si puede ser, a las frutas de temporada y, cuando sea posible, yo defiendo el origen comunitario de nuestras frutas y hortalizas. Creo que sus efectos beneficiosos de este plan, que aplaudo y por lo cual quiero felicitar a la Comisaria, los notaremos inmediatamente. Por supuesto, para la salud presente y futura de nuestros niños y su educación alimentaria, pero también creo que es muy importante para el sector hortofrutícola, un sector productivo que constituye un auténtico patrimonio cultural europeo. Pues gracias a él podemos disfrutar de una variedad de frutas y hortalizas equilibradas, sana y variada. Creo que merece la pena apostar e invertir en este plan de distribución de frutas y hortalizas en nuestras escuelas. Creo que el presupuesto se queda un poco corto, porque vuelvo a decir que defiendo la plena financiación comunitaria de un plan tan ambicioso como este. Muchas gracias.","Señor Presidente , estamos ante un plan muy esperado por el sector hortofrutícola , no solamente por las dificultades por las que atraviesa , sino también por el preocupante descenso del consumo .
Nos encontramos ante un plan de promoción de la salud pública ; creo que debe ser un plan europeo , y también defiendo la plena financiación comunitaria . No estoy de acuerdo en que puedan entrar los padres en la cofinanciación , porque pasará lo de siempre : aquellos niños cuyos padres puedan aportar dinero , consumirán frutas y hortalizas en las escuelas , y los que no , se quedarán fuera del programa .
Creo que tiene que ser un plan financiado comunitariamente para que su distribución sea homogénea . Por ello también quiero hacer mucho hincapié en que hay que poner el acento en las medidas educativas . No se trata solo de que un alumno se coma una manzana , sino de que sepa qué tipo de manzana se está comiendo , conozca sus propiedades nutritivas y comprenda los efectos beneficiosos que dicha fruta tiene para su salud y para su desarrollo .
Por supuesto , debe tratarse de productos con todas las garantías de calidad , dando prioridad , si puede ser , a las frutas de temporada y , cuando sea posible , yo defiendo el origen comunitario de nuestras frutas y hortalizas .
Creo que los efectos beneficiosos de este plan , que aplaudo y por el cual quiero felicitar a la Comisaria , los notaremos inmediatamente ; por supuesto , en la salud presente y futura de nuestros niños y su educación alimentaria , pero también creo que es muy importante para el sector hortofrutícola , un sector productivo que constituye un auténtico patrimonio cultural europeo , pues gracias a él podemos disfrutar de una dieta equilibrada , sana y variada .
Creo que merece la pena apostar e invertir en este plan de distribución de frutas y hortalizas en nuestras escuelas . Creo que el presupuesto se queda un poco corto , porque , vuelvo a decirlo , defiendo la plena financiación comunitaria de un plan tan ambicioso como éste .
"
en.20081119.18.3-173,0.48,ValueError,,,,,126.9899375,,,,"Señor Presidente , le pido que estas primeras palabras no las incluya , por favor , en la máquina infernal del tiempo , porque mis primeras palabras son para sumarme al mensaje de condolencia , expresado por esta Cámara y dirigido hacia la señora Klamt , y , sobre todo , para felicitar a los ponentes .
Ahora sí que empiezo . Felicito a los ponentes porque , con estas dos propuestas , estamos dando un paso cualitativo hacia una política común de inmigración y entramos en la promoción de la inmigración legal , pilar clave del enfoque global que defendemos .
El marco general de derechos y el permiso único de residencia y trabajo para los emigrantes legales , deben extenderse al mayor número de trabajadores . Por eso , los socialistas pedimos que no se excluya a ninguna categoría de trabajadores .
La denominada « tarjeta azul » brinda una oportunidad para que los emigrantes se instalen con sus familias y trabajen en nuestros países . Les abre una puerta única a 27 mercados laborales . Ahora bien , por esta puerta no sólo deben entrar los trabajadores altamente cualificados . Por ello , esperamos , señor Comisario , que la Comisión nos presente en breve sus propuestas relativas a las otras categorías laborales .
Señorías , debemos luchar contra la fuga de cerebros . Esta tarjeta azul no debe convertirse en un pasaporte que favorezca una sangría de recursos humanos vitales en los países en desarrollo . Por ello , desde el Grupo Socialista queremos que , por cada profesional cualificado que venga a Europa , costeemos la formación de un nuevo profesional en el país de origen .
Por último , Europa debe ser un destino atractivo , no sólo para los talentos venidos de fuera de la Unión , sino también para los nuestros . En 2007 , casi 300 000 europeos altamente cualificados se marcharon a trabajar fuera de la Unión . Hagamos todo lo posible por mantenerlos en la casa europea .
"
en.20081119.21.3-287,0.48,,167.53707818646544,216.29382480005006,136.94477431578744,195.10660778951205,28.0033125,10.066347503999623,0.35946988428599735,"señora vicepresidenta, ¿le parece a usted que la cercanía o la lejanía de los candidatos a los electores tiene que ver con el grado de participación en las elecciones europeas? ¿Está usted de acuerdo en que un estado de 45 millones de habitantes no tenga más que una sola circunscripción electoral para las elecciones al Parlamento Europeo? ¿Qué puede hacer la Comisión para que los estados de mayor número de población puedan tener circunscripciones más próximas a los ciudadanos?","Señora Vicepresidenta , ¿ le parece a usted que la cercanía o la lejanía de los candidatos a los electores tienen que ver con el grado de participación en las elecciones europeas ? ¿ Está usted de acuerdo en que un Estado de 45 millones de habitantes no tenga más que una sola circunscripción electoral para las elecciones al Parlamento Europeo ? ¿ Qué puede hacer la Comisión para que los Estados de mayor número de población puedan tener circunscripciones más próximas a los ciudadanos ?
"
en.20081119.21.3-290,0.48,,113.41482815375387,149.17191379990982,93.83131624986163,96.54885224995269,5.99075,1.5946197520001988,0.26618031999335623,"disculpéme, pero no he oído que la señora vicepresidenta haya contestado a mis preguntas.","Discúlpeme , pero no he oído que la señora Vicepresidenta haya contestado a mis preguntas .
"
