audio,retardo_ms,latencia_computacional_ms,latencia_p90_ms,latencia_primer_tercio_ms,latencia_ultimo_tercio_ms,duracion_audio_s,tiempo_total_s,rtf,hypothesis,reference
en.20081008.24.3-238,160,72.9103474269247,97.53998720007077,72.00048084423368,74.52272095576973,125.0578125,118.40587741499985,0.9468091201019516," Gracias, señor presidente. En primer lugar, quisiera felicitar al señor Sieber por el trabajo realizado, porque en su informe se recogen muchas de las preocupaciones manifestadas en esta Cámara en torno a estos problemas cruciales para toda la Unión Europea. Son estos la escasez de agua y la sequía, asuntos que ya han dejado de ser solo un problema de los países del sur de Europa. Me alegro de que este proyecto incorpore algunas de las reflexiones realizadas en el informe de opinión del que fui ponente en la Comisión de Agricultura, a favor de una actividad agrícola destacando, por ejemplo, el papel que desempeñan los agricultores en la gestión sostenible de los recursos disponibles. Incluye, asimismo, una referencia a la sequía y a la escasez de agua como factores que agravan los precios en las materias primas, aspecto en el que los tiempos que corren también me parece muy importante señalar, para que tengamos presente no solo la dimensión medioambiental de este problema, sino también algunas de sus consecuencias económicas más relevantes. La Comisión de Medio Ambiente incluyó, por otra parte, la idea de crear un Observatorio Europeo de la Sequía Acción que se menciona a sí mismo en el informe de la Comisión de Agricultura y que espero que algún día se vea reflejada en hechos concretos. El texto que se somete mañana a votación nos recoge, sin embargo, una propuesta realizada por la Comisión de Agricultura para que se estudie la puesta en marcha de un fondo de adaptación económico contra la sequía, fondo que beneficiaría a todos los sectores económicos, incluido también la agricultura. Por mi parte, me gustaría dejar claro que seguiré defendiendo la constitución de este fondo y de que volveré a proponerles al Parlamento cuando lleguen los próximos meses la comunicación que tiene previsto publicar la Comisión sobre la adaptación al cambio climático. Me parece que, después de que se constituyera el Fondo de Solidaridad, que en su día se creó para paliar las pérdidas provocadas por las calamidades climáticas, es hora de que pensemos en un instrumento que actúe a priori y destinado para financiar medidas de prevención para reducir el coste medioambiental y económico de esas catástrofes climáticas. Muchas gracias.","−
Señor Presidente , en primer lugar , quisiera felicitar al señor Seeber por el trabajo realizado , porque en su informe se recogen muchas de las preocupaciones manifestadas en esta Cámara en torno a estos problemas cruciales para toda la Unión Europea . Son éstos : la escasez de agua y la sequía , asuntos que ya han dejado de ser solamente un problema de los países del sur de Europa .
Me alegro de que este proyecto incorpore alguna de las reflexiones realizadas en la opinión de la que fui ponente en la Comisión de Agricultura , a favor de una actividad agrícola , al destacar , por ejemplo , el papel que desempeñan los agricultores en la gestión sostenible de los recursos disponibles . Incluye , asimismo , una referencia a la sequía y a la escasez de agua como factores que agravan los precios de las materias primas , aspecto que , en los tiempos que corren , también me parece muy importante señalar para que tengamos presente no solamente la dimensión medioambiental de este problema , sino también algunas de sus consecuencias económicas más relevantes .
La Comisión de Medio Ambiente incluyó , por otra parte , la idea de crear un observatorio europeo de la sequía , acción que se menciona , asimismo , en la opinión de la Comisión de Agricultura y que espero que , algún día , se vea reflejada en hechos concretos .
El texto que se somete mañana a votación no recoge , sin embargo , una propuesta realizada por la Comisión de Agricultura para que se estudie la puesta en marcha de un fondo de adaptación económico contra la sequía , que beneficiaría a todos los sectores económicos , incluido también el de la agricultura .
Por mi parte , me gustaría dejar claro que seguiré defendiendo la constitución de este fondo , una idea que volveré a proponer al Parlamento cuando llegue en los próximos meses la comunicación que tiene previsto elaborar la Comisión sobre la adaptación al cambio climático .
Me parece que , después de que se constituyera el Fondo de Solidaridad , que en su día se creó para paliar las pérdidas provocadas por las calamidades climáticas , es hora de que pensemos en un instrumento que actúe
y destinado a financiar medidas de prevención para reducir el coste medioambiental y económico de esas catástrofes climáticas .
"
en.20081020.12.1-036,160,69.81157880650461,92.05454459993236,67.53757301029997,73.391479400004,47.03875,40.86284797400003,0.8687060768834213," El Atlético de Madrid los aficionados e incluso la policía española están siendo maltratados por la Federación Europea de Fútbol. Pero el caso trasciende lo particular. Pues esos órganos federativos agravan las sanciones a quienes recurren a la justicia ordinaria. Esta concepción medieval es tal ley del embudo es incompatible con el derecho, con las instituciones europeas. Desde las que hemos de reaccionar y lo acabaremos haciendo pues eso señores medievales arbitrarios de orca y cuchillo han de ponerse en línea con el respeto al derecho y las garantías procesales ordinarias de nuestra Europa. Nada más, muchas gracias.","El Atlético de Madrid , los aficionados e incluso la policía española están siendo maltratados por la Federación Europea de Fútbol . Pero el caso transciende lo particular , pues esos órganos federativos agravan las sanciones a quienes recurren a la justicia ordinaria .
Esta concepción medieval , esta ley del embudo es incompatible con el Derecho y con las instituciones europeas , desde las que hemos de reaccionar . Lo acabaremos haciendo , pues esos señores medievales arbitrarios de horca y cuchillo han de ponerse en línea con el respeto al Derecho y las garantías procesales ordinarias de nuestra Europa .
"
en.20081020.15.1-139,160,69.07374022320978,91.47382270011803,68.58920802297581,68.21370139312573,63.0373125,54.26016674499988,0.860762691064913," Gracias, señor presidente. Señor comisario, el terrorismo es un fenómeno global y la actuación de la delincuencia grave organizada también. Y, por tanto, los medios tienen que ser proporcionales y tienen que lucharse con eficacia. Yo he tomado buena nota de las respuestas que ha dado a las preguntas que eran oportunas. Es verdad que hay que exigir garantías, es verdad que es un tema delicado, pero no es menos cierto que es absolutamente inexcusable montar formar una respuesta globalizada y armonizada. Para algunos que el terrorismo les pilla un poco lejos, les preocupan más las garantías individuales. A mí me preocupan las individuales y las colectivas. Y es absolutamente necesario que empecemos por donde podamos. Si hemos empezado por el transporte aéreo, donde ya las compañías tienen esos datos, empecemos por ahí. Exijamos garantías, veamos cuál es el ámbito de aplicación, empecemos por las relaciones de los transportes internacionales y, ojo, tendremos que seguir por las interiores porque los terroristas muchas veces no vienen de fuera, sino que vienen de dentro. Que se lo pregunten a Estados Unidos y que se lo pregunten a los demás que así es y así tendremos que plantearlo.","Señor Presidente , señor Comisario , el terrorismo es un fenómeno global y la actuación de la delincuencia grave organizada también , y por tanto los medios tienen que ser proporcionales y hay que luchar con eficacia .
He tomado buena nota de las respuestas que ha dado a las preguntas , y eran oportunas : es verdad que hay que exigir garantías , es verdad que es un tema delicado , pero no es menos cierto que es absolutamente inexcusable montar , formar una respuesta globalizada y armonizada .
A algunos , a los que el terrorismo les queda un poco lejos , les preocupan más las garantías individuales . A mí me preocupan las individuales y las colectivas , y es absolutamente necesario que empecemos por donde podamos . Si hemos de empezar por el transporte aéreo , donde ya las compañías tienen esos datos , empecemos por ahí .
Exijamos garantías , veamos cuál es el ámbito de aplicación , empecemos por las relaciones de los transportes internacionales , y ¡ ojo ! tendremos que seguir por las interiores porque los terroristas muchas veces no vienen de fuera , sino que vienen de dentro . Que se lo pregunten a Estados Unidos , que se lo pregunten a los demás , que así es y así tendremos que plantearlo en el futuro .
"
en.20081118.31.2-399,160,68.9488196283335,87.52031240001088,68.3746202033522,70.18231570017747,129.0284375,111.17706749699983,0.8616477859541609," Muchas gracias, señor presidente. Yo quiero agradecer a la Comisión que haya presentado esta propuesta. Creo que es una propuesta positiva y que nos ayudará a reducir las cargas administrativas innecesarias. Ahora bien, como han dicho los oradores que me han precedido, este Parlamento tiene la obligación de traer a tierra lo que son propuestas muy generosas y muy altruistas por parte de la Comisión. Y la realidad es que hay una realidad nacional en la que hay 27 países con diferentes sistemas jurídicos y con idiomas muy diferentes. Lo cual exige que en cada uno de esos países nos ajustemos a las realidades del país, incluyendo el tema de las lenguas. Concretamente, como ha señalado Gosset ahora mismo, y como ha señalado los oradores anteriores, es importante que la Concretamente, en la Unión Europea no tenemos un idioma común, en los 27 países de suelo hablar idiomas muy diferentes entre ellos, incluso en algunos países como el del comisario, se hablan diferentes idiomas y vivimos con esto. Y desde el punto de vista jurídico, además, nos encontramos con la realidad de que los documentos jurídicos son diferentes. En la Comisión Jurídica, la Comisión Jurídica ha propuesto, por ejemplo, unas enmiendas sobre la autenticación de los actos de los documentos, junto con la autenticación de la traducción. En este momento la Comisión de Asuntos Jurídicos está preparando un informe sobre la","Señor Presidente , quiero agradecer a la Comisión que haya presentado esta propuesta . Creo que es una propuesta positiva y que nos ayudará a reducir las cargas administrativas innecesarias .
Ahora bien , como han dicho los oradores que me han precedido , este Parlamento tiene la obligación de traer a tierra lo que son propuestas muy generosas y muy altruistas por parte de la Comisión . Y la realidad es que hay una realidad nacional en la que hay veintisiete países con diferentes sistemas jurídicos y con idiomas muy diferentes , lo cual exige que , en cada uno de nuestros países , nos ajustemos a las realidades del país , incluyendo el tema de las lenguas .
Concretamente , como ha señalado el señor Gauzès , ahora mismo , y como han señalado los oradores anteriores , es importante que el reconocimiento de estas especificidades nacionales no lleve a un aumento de los costes , que las tasas sean uniformes y que los Gobiernos , eventualmente , asuman ese coste adicional .
Pero hay un tema que aparece también : es el tema de las traducciones . Concretamente , en la Unión Europea no tenemos un idioma común . En los veintisiete países se suelen hablar idiomas muy diferentes entre sí , incluso en algunos países , como el del Comisario , se hablan diferentes idiomas y vivimos con esto .
Y , desde el punto de vista jurídico , además , nos encontramos con la realidad de que los documentos jurídicos son diferentes . La Comisión de Asuntos Jurídicos ha propuesto , por ejemplo , unas enmiendas sobre la autenticación de las actas , de los documentos , junto con la autenticación de la traducción . En estos momentos , la Comisión de Asuntos Jurídicos está preparando un informe sobre el reconocimiento de actas auténticas en diferentes países de la Unión Europea que debería ser complementario de este informe .
En definitiva , yo creo que la Comisión ha hecho bien presentando este informe . La ponente ha hecho un magnífico trabajo y creo que todos nos hemos esforzado por hacer una propuesta de texto legislativo que pueda ser reconocido en el conjunto de la Unión , garantizando los derechos y partiendo de las bases de la realidad de una Unión que se está construyendo , que tiene diferentes ordenamientos nacionales y que tiene diferentes niveles de acceso a la comunicación electrónica .
"
en.20081118.4.2-040,160,69.09726863218589,87.27101310009859,68.8758967775706,69.53207964403825,131.0253125,113.14763018500025,0.8635555071467602," Gracias, presidente. Una gran mayoría de agricultores y ganaderos está pendiente de decisiones y acuerdos previos que adaptará el Consejo de Ministros de Agricultura de la Unión entre hoy y mañana sobre este chequeo de la PAC. Porque no se trata de una simple revisión, sino que traerá consigo cambios profundos, como la desaparición de muchas explotaciones. Si sale adelante este recorte que propone la Comisión Europea sobre ayudas directas. La modulación es el punto central de este informe parlamentario y podría ser uno de los pocos elementos de la opinión del Parlamento con algún impacto en las negociaciones que mantienen los ministros de Agricultura de la Unión. Venimos oponiéndonos desde hace años a cualquier incremento de eso que llamamos eufemísticamente modulación, porque si la política de desarrollo rural no dispone de fondos suficientes, no es por falta de recursos dentro del techo de gastos de la PAC, sino por una ausencia absoluta de voluntad política para dotar al presupuesto comunitario de ese necesario desarrollo pilar. Quieren liberalizar los mercados, claro, háganlo, pero con iguales requisitos y condiciones para todos los productores, los de dentro y fuera de la Unión. En estos momentos, la Unión Europea se está jugando el futuro de muchos agricultores y ganaderos y, muy especialmente, me gustaría hacer una referencia a los sectores frágiles como el del ovino, el vacuno o el tabaco, cuya supervivencia, en muchas zonas productoras, dependerá de este chequeo. Algunos productores, como los de ovino, ya no piden ayuda, sino que simplemente quieren que se les deje irse dignamente del mercado, porque han hecho cuentas y la única forma de sobrevivir es reducir los volúmenes producidos. El abandono de la producción, por tanto, es la única salida que dejamos a muchos productores, cuyo espacio será ocupado sin duda por importaciones de países terceros, porque el consumidor no dejará de consumir y el mundo no dejará de incrementar a pasos agigantados el número de consumidores. El Parlamento debería emitir una opinión prudente y el Consejo escucharla. Agradezco desde aquí al presidente de la Comisión de Agricultura las gestiones que ha realizado el señor Paris para que se escuche al Parlamento y no sea ninguneado de una forma tan clara y ostensible por el Consejo y la Comisión como hasta ahora. Gracias. Gracias, señora Hernández García.","Señor Presidente , una gran mayoría de agricultores y ganaderos está pendiente de decisiones y acuerdos previos que adoptará el Consejo de Ministros de Agricultura de la Unión , entre hoy y mañana , sobre este chequeo de la PAC , porque no se trata de una simple revisión , sino que traerá consigo cambios profundos , como la desaparición de muchas explotaciones , si sale adelante este recorte que propone la Comisión Europea respecto de las ayudas directas .
La modulación es el punto central de este informe parlamentario y podría ser uno de los pocos elementos del dictamen del Parlamento con algún impacto en las negociaciones que mantienen los Ministros de Agricultura de la Unión .
Venimos oponiéndonos , desde hace años , a cualquier incremento de eso que llamamos eufemísticamente « modulación » , porque si la política de desarrollo rural no dispone de fondos suficientes no es por falta de recursos dentro del techo de gastos de la PAC , sino por una ausencia absoluta de voluntad política para dotar al presupuesto comunitario de ese necesario pilar .
¿ Quieren liberalizar los mercados ? Claro , háganlo , pero con iguales requisitos y condiciones para todos los productores , los de dentro y los de fuera de la Unión .
En estos momentos la Unión Europea se está jugando el futuro de muchos agricultores y ganaderos y , muy especialmente , me gustaría hacer una referencia a los sectores frágiles como el del ovino , el del vacuno o el del tabaco , cuya supervivencia en muchas zonas productoras dependerá de este chequeo .
Algunos productores , como los de ovino , ya no piden ayudas , sino que simplemente quieren que se les deje irse dignamente del mercado , porque han hecho cuentas y la única forma de sobrevivir es reducir los volúmenes producidos . El abandono de la producción , por tanto , es la única salida que dejamos a muchos productores , cuyo espacio será ocupado , sin duda , por importaciones de terceros países , porque el consumidor no dejará de consumir y el mundo no dejará de incrementar a pasos agigantados el número de consumidores .
El Parlamento debería emitir una opinión prudente y el Consejo escucharla . Agradezco desde aquí al Presidente de la Comisión de Agricultura y Desarrollo Rural , el señor Parish , las gestiones que ha realizado para que se escuche al Parlamento y no sea ninguneado de una forma tan clara y ostensible por el Consejo y la Comisión , como hasta ahora .
"
en.20081118.4.2-057,160,75.91715996663552,105.72193460020576,70.03780986833361,70.37003053126227,77.0389375,72.89681793599993,0.9462334282063526," Gracias, señor presidente. En primer lugar, sumame a las felicitaciones del señor ponente, el señor Capula Santos, por su magnífico trabajo. Creo que ha encontrado equilibrio y moderación en su informe. Creo que lo importante a estas alturas del debate es mandar un mensaje de estabilidad para nuestros agricultores. Los agricultores europeos necesitan más que nunca estabilidad y soluciones. Es necesario periodos transitorios suficientes así como mantener medidas específicas que sean necesarias para sectores en dificultad. Señora comisaria, no valen las mismas soluciones para todos los sectores y hay que recordar que tenemos sectores que están atravesando verdaderas dificultades. La política agraria común no tiene que ser el problema, sino la solución. Y para ello necesitamos un primer pilar fuerte, creemos y apostamos por el desarrollo rural, pero no creemos que la modulación propuesta por la Comisión sea la solución. No se trata de fortalecer el desarrollo rural en detrimento del primer pilar. Estamos de acuerdo en que hay que simplificar el régimen de pago único en revisar los instrumentos del mercado, pero eso no significa desmantelarlos. Si lo hacemos bien, estaremos poniendo las bases para una política agraria común más allá del 2013. Si no, estaremos acabando con la actividad de muchos agricultores europeos. Gracias. Gracias. No veo una...","Señor Presidente , en primer lugar , quería sumarme a la felicitación al ponente , el señor Capoulas Santos , por su magnífico trabajo . Creo que ha encontrado equilibrio y moderación en su informe .
Creo que lo importante , a estas alturas del debate , es mandar un mensaje de estabilidad a nuestros agricultores . Los agricultores europeos necesitan más que nunca estabilidad y soluciones . Son necesarios períodos transitorios suficientes , así como mantener medidas específicas que sean necesarias para sectores en dificultad .
Señora Comisaria , no valen las mismas soluciones para todos los sectores . Hay que recordar que tenemos sectores que están atravesando verdaderas dificultades . La Política Agrícola Común no tiene que ser el problema , sino la solución , y para ello necesitamos un primer pilar fuerte .
Creemos en el desarrollo rural y apostamos por él , pero no creemos que la modulación propuesta por la Comisión sea la solución . No se trata de fortalecer el desarrollo rural en detrimento del primer pilar . Estamos de acuerdo en que hay que simplificar el régimen de pago único , en revisar los instrumentos de mercado . Pero eso no significa desmantelarlos .
Si lo hacemos bien , estaremos poniendo las bases para una Política Agrícola Común más allá de 2013 ; si no , estaremos acabando con la actividad de muchos agricultores europeos .
"
en.20081118.5.2-089,160,69.98887185945925,91.2854334000258,70.36998403974026,68.27657399338767,109.0360625,95.3320169650001,0.8743163938536399," Estamos ante un plan muy esperado por el sector hortofrutícola, no solamente por las dificultades a las que atraviesa, sino también por el preocupante descenso del consumo. Creo que nos encontramos ante un plan de promoción de salud pública. Yo creo que debe ser un plan europeo y también defiendo la plena financiación comunitaria. No estoy de acuerdo en que puedan entrar los padres en la cofinanciación porque pasará lo de siempre. Los padres que puedan aportar dinero, sus hijos, en las escuelas consumirán frutas y hortalizas y los que no se quedarán fuera del programa. Creo que tiene que ser un plan financiado comunitariamente para que su distribución sea homogénea. Por ello también quiero hacer mucho hincapié en que hay que poner el acento en las medidas educativas, No se trata solo de que un alumno se coma una manzana, sino que sepa qué tipo de manzana se está comiendo. Conozca sus propiedades nutritivas y comprenda los efectos beneficiosos que dichas frutas tienen para su salud y para su desarrollo. Por supuesto, debe tratarse de productos de todas las garantías de calidad, dando prioridad, si puede ser, a las frutas de temporada y, cuando sea posible, yo defiendo el origen comunitario de nuestras frutas y hortalizas. Creo que sus efectos beneficiosos de este plan, que aplaudo y por lo cual quiero felicitar a la comisaria, los notaremos inmediatamente. Por supuesto, para la salud presente y futura de nuestros niños. Y su educación alimentaria, pero también creo que es muy importante para el sector hortofrutícola. Un sector productivo que constituye una una auténtica patrimonio cultural europeo. Pues gracias a él podemos disfrutar de una dieta equilibrada, sana y variada. Creo que merece la pena apostar e invertir en este plan de distribución de frutas y hortalizas en nuestras escuelas. Creo que el presupuesto se queda un poco corto, porque vuelvo a decir que defiendo la plena financiación comunitaria de un plan tan ambicioso como este. Muchas gracias.","Señor Presidente , estamos ante un plan muy esperado por el sector hortofrutícola , no solamente por las dificultades por las que atraviesa , sino también por el preocupante descenso del consumo .
Nos encontramos ante un plan de promoción de la salud pública ; creo que debe ser un plan europeo , y también defiendo la plena financiación comunitaria . No estoy de acuerdo en que puedan entrar los padres en la cofinanciación , porque pasará lo de siempre : aquellos niños cuyos padres puedan aportar dinero , consumirán frutas y hortalizas en las escuelas , y los que no , se quedarán fuera del programa .
Creo que tiene que ser un plan financiado comunitariamente para que su distribución sea homogénea . Por ello también quiero hacer mucho hincapié en que hay que poner el acento en las medidas educativas . No se trata solo de que un alumno se coma una manzana , sino de que sepa qué tipo de manzana se está comiendo , conozca sus propiedades nutritivas y comprenda los efectos beneficiosos que dicha fruta tiene para su salud y para su desarrollo .
Por supuesto , debe tratarse de productos con todas las garantías de calidad , dando prioridad , si puede ser , a las frutas de temporada y , cuando sea posible , yo defiendo el origen comunitario de nuestras frutas y hortalizas .
Creo que los efectos beneficiosos de este plan , que aplaudo y por el cual quiero felicitar a la Comisaria , los notaremos inmediatamente ; por supuesto , en la salud presente y futura de nuestros niños y su educación alimentaria , pero también creo que es muy importante para el sector hortofrutícola , un sector productivo que constituye un auténtico patrimonio cultural europeo , pues gracias a él podemos disfrutar de una dieta equilibrada , sana y variada .
Creo que merece la pena apostar e invertir en este plan de distribución de frutas y hortalizas en nuestras escuelas . Creo que el presupuesto se queda un poco corto , porque , vuelvo a decirlo , defiendo la plena financiación comunitaria de un plan tan ambicioso como éste .
"
en.20081119.18.3-173,160,77.01994206073222,110.54204440015383,76.88119145488268,75.29501310319006,128.0299375,123.22118018699985,0.9624403681912276," Sí, gracias, presidente. Le pido que estas primeras palabras no las incluya, por favor, en el tiempo en la máquina del tiempo, porque mis primeras palabras son para sumarme al mensaje de condolencia expresado por esta Cámara hacia dirigido hacia la señora Clamp y, sobre todo, para felicitar a los ponentes. Ahora sí que empiezo Le felicito a los ponentes porque, con estas dos propuestas, estamos dando un paso cualificativo hacia una política común de inmigración y entramos en la promoción de la inmigración legal. Pilar clave del enfoque global que defendemos. El marco general de derechos y el permiso único de residencia y trabajo para los emigrantes legales deben extenderse al mayor número de trabajadores. Por eso, los socialistas pedimos que no se excluya a ninguna categoría de trabajadores. La denominada tarjeta azul brinda una oportunidad para que los emigrantes se instalen con sus familias y trabajen en nuestros países. Les abre una puerta única a 27 mercados laborales. Ahora bien, por esta puerta no solo deben entrar los trabajadores altamente cualificados. Por ello, esperamos, señor comisario, que la comisión nos presente en breve sus propuestas relativas a las otras categorías laborales. Señorías, debemos luchar contra la fuga de cerebros. Esta tarjeta azul no debe convertirse en un pasaporte que favorezca una sangría de recursos humanos vitales en los países en vía de desarrollo. Por ello, desde el Grupo Socialista queremos que por cada profesional cualificado que venga a Europa costeemos la formación de un nuevo profesional en el país de origen. Por último, Europa debe ser un destino atractivo no solo para los talentos venidos de fuera de la Unión, sino también para los nuestros. En 2007 casi 300.000 europeos altamente cualificados se marcharon a trabajar fuera de la Unión. Hagamos todo lo posible por mantenerlos en la Casa Europea. Muchas gracias.","Señor Presidente , le pido que estas primeras palabras no las incluya , por favor , en la máquina infernal del tiempo , porque mis primeras palabras son para sumarme al mensaje de condolencia , expresado por esta Cámara y dirigido hacia la señora Klamt , y , sobre todo , para felicitar a los ponentes .
Ahora sí que empiezo . Felicito a los ponentes porque , con estas dos propuestas , estamos dando un paso cualitativo hacia una política común de inmigración y entramos en la promoción de la inmigración legal , pilar clave del enfoque global que defendemos .
El marco general de derechos y el permiso único de residencia y trabajo para los emigrantes legales , deben extenderse al mayor número de trabajadores . Por eso , los socialistas pedimos que no se excluya a ninguna categoría de trabajadores .
La denominada « tarjeta azul » brinda una oportunidad para que los emigrantes se instalen con sus familias y trabajen en nuestros países . Les abre una puerta única a 27 mercados laborales . Ahora bien , por esta puerta no sólo deben entrar los trabajadores altamente cualificados . Por ello , esperamos , señor Comisario , que la Comisión nos presente en breve sus propuestas relativas a las otras categorías laborales .
Señorías , debemos luchar contra la fuga de cerebros . Esta tarjeta azul no debe convertirse en un pasaporte que favorezca una sangría de recursos humanos vitales en los países en desarrollo . Por ello , desde el Grupo Socialista queremos que , por cada profesional cualificado que venga a Europa , costeemos la formación de un nuevo profesional en el país de origen .
Por último , Europa debe ser un destino atractivo , no sólo para los talentos venidos de fuera de la Unión , sino también para los nuestros . En 2007 , casi 300 000 europeos altamente cualificados se marcharon a trabajar fuera de la Unión . Hagamos todo lo posible por mantenerlos en la casa europea .
"
en.20081119.21.3-287,160,71.82831004457236,96.24772259994643,76.42564194119043,69.49573679998291,29.0433125,25.87810362099981,0.891017635161272," Señora vicepresidenta, ¿le parece a usted que la cercanía o la lejanía de los candidatos a los electores tiene que ver con el grado de participación en las elecciones europeas? ¿Está usted de acuerdo en que un Estado de 45 millones de habitantes no tenga más que una sola circunscripción electoral para el las elecciones al Parlamento Europeo? ¿Qué puede hacer la Comisión para que los Estados de mayor número de población puedan tener circunscripciones más próximas a los ciudadanos?","Señora Vicepresidenta , ¿ le parece a usted que la cercanía o la lejanía de los candidatos a los electores tienen que ver con el grado de participación en las elecciones europeas ? ¿ Está usted de acuerdo en que un Estado de 45 millones de habitantes no tenga más que una sola circunscripción electoral para las elecciones al Parlamento Europeo ? ¿ Qué puede hacer la Comisión para que los Estados de mayor número de población puedan tener circunscripciones más próximas a los ciudadanos ?
"
en.20081119.21.3-290,160,75.26234796429911,97.02549700009513,70.05709864288941,70.77273707143051,7.03075,6.413632607999716,0.9122259514276166," Disculpenme, pero no he oído que la señora vicepresidenta haya contestado a mis preguntas.","Discúlpeme , pero no he oído que la señora Vicepresidenta haya contestado a mis preguntas .
"
